Tổng Thời Gian Học (giây),Mức Độ Chăm Chỉ
40658.718,High
7248.137,High
5660.417,High
5537.607,High
5226.008,High
4918.387,High
4829.577,Medium-High
4789.079,Medium-High
4294.525,Medium-High
4208.279,Medium-High
4023.706,Medium-High
3820.755,Medium-High
3190.4,Medium-Low
3067.773,Medium-Low
3044.201,Medium-Low
3033.148,Medium-Low
3022.833,Medium-Low
2814.444,Medium-Low
2471.079,Low
1860.689,Low
1819.916,Low
1314.113,Low
824.187,Low
280.174,Low
