Mã lớp,Số lượng sinh viên,Tỷ lệ (%)
uDhLQT,132,23.4
yw6EcK,119,21.1
jOkz1q,92,16.31
RRG3Jh,74,13.12
bAmGhf,62,10.99
IgUGHH,48,8.51
2wpTye,37,6.56
