Mã lớp,Số lượng sinh viên,Tỷ lệ (%)
uDhLQT,132,23.36
yw6EcK,119,21.06
jOkz1q,92,16.28
RRG3Jh,74,13.1
bAmGhf,62,10.97
IgUGHH,48,8.5
2wpTye,37,6.55
Q3kVO8,1,0.18
